,Weight,Open_x,Open_y,Returns,Buy Date,Sell Date
833,0.05,197.7,178.95,-0.004742033383915023,1731,1821
878,0.05,409.9,476.9,0.008172725054891437,1731,1821
1117,0.05,336.0,444.5,0.016145833333333335,1731,1821
1117,0.05,336.0,444.5,0.016145833333333335,1731,1821
1509,0.05,206.5,303.7,0.02353510895883777,1731,1821
1516,0.05,660.0,714.0,0.004090909090909091,1731,1821
1551,0.05,602.3,857.0,0.021143948198572148,1731,1821
1615,0.05,246.25,400.9,0.03140101522842639,1731,1821
1615,0.05,246.25,400.9,0.03140101522842639,1731,1821
1622,0.05,317.75,319.0,0.0001966955153422502,1731,1821
2086,0.05,245.7,264.0,0.0037240537240537264,1731,1821
2761,0.05,288.6,333.0,0.0076923076923076875,1731,1821
151,0.05,1197.0,1060.1,-0.0057184628237259855,1822,1911
197,0.05,269.35,286.875,0.003253202153332091,1822,1911
342,0.05,1087.85,1026.05,-0.0028404651376568446,1822,1911
343,0.05,253.85,202.2,-0.0101733307071105,1822,1911
393,0.05,1356.65,1175.85,-0.006663472524232491,1822,1911
658,0.05,388.0,278.0,-0.014175257731958763,1822,1911
762,0.05,892.5,1149.975,0.014424369747899155,1822,1911
1100,0.05,24683.9,20600.0,-0.008272396177265346,1822,1911
1117,0.05,464.65,328.1,-0.014693855590229201,1822,1911
1117,0.05,464.65,328.1,-0.014693855590229201,1822,1911
1287,0.05,90.7,68.75,-0.012100330760749725,1822,1911
1408,0.05,463.2,384.5,-0.008495250431778928,1822,1911
1430,0.05,1462.45,1390.0,-0.002477007760949094,1822,1911
1509,0.05,305.5,258.05,-0.007765957446808509,1822,1911
1551,0.05,856.4,896.45,0.0023382765063054687,1822,1911
1558,0.05,273.6,224.0,-0.00906432748538012,1822,1911
1583,0.05,1069.95,941.85,-0.0059862610402355255,1822,1911
1615,0.05,435.0,245.25,-0.02181034482758621,1822,1911
2761,0.05,331.5,282.0,-0.00746606334841629,1822,1911
2947,0.05,717.0,620.79,-0.006709205020920505,1822,1911
109,0.05,144.55,136.15,-0.0029055690072639245,1913,2002
197,0.05,303.95,318.375,0.0023729231781543037,1913,2002
526,0.05,6725.0,6069.0,-0.00487732342007435,1913,2002
526,0.05,6725.0,6069.0,-0.00487732342007435,1913,2002
693,0.05,666.0,658.0,-0.0006006006006006007,1913,2002
735,0.05,226.65,228.95,0.0005073902492830317,1913,2002
762,0.05,1172.5,1390.0,0.009275053304904052,1913,2002
949,0.05,775.25,985.85,0.013582715253144148,1913,2002
968,0.05,811.05,1095.0,0.017505085999630115,1913,2002
1044,0.05,888.0,1104.1,0.012167792792792788,1913,2002
1066,0.05,487.9,501.0,0.0013424882147981168,1913,2002
1117,0.05,325.0,140.3,-0.028415384615384613,1913,2002
1302,0.05,5145.0,5226.95,0.0007964042759961111,1913,2002
1525,0.05,621.2,692.95,0.005775112685125564,1913,2002
1551,0.05,938.2,878.0,-0.0032082711575357093,1913,2002
1615,0.05,221.35,54.35,-0.03772306302236277,1913,2002
2253,0.05,1345.0,1490.8,0.005420074349442378,1913,2002
3050,0.05,575.375,628.575,0.004623071909624162,1913,2002
3176,0.05,292.8,321.98,0.004982923497267761,1913,2002
615,0.05,465.1,628.5,0.01756611481401849,2005,2094
1117,0.05,135.45,73.8,-0.022757475083056478,2005,2094
949,0.05,971.0,1075.0,0.005355303810504634,2005,2094
1044,0.05,1092.0,1226.7,0.0061675824175824205,2005,2094
968,0.05,1140.0,1194.8,0.002403508771929823,2005,2094
762,0.05,1393.0,1264.0,-0.004630294328786791,2005,2094
147,0.05,2337.0,2235.0,-0.0021822849807445447,2005,2094
812,0.05,1319.0,1146.0,-0.006557998483699773,2005,2094
3068,0.05,3062.0,2812.5,-0.004074134552580014,2005,2094
1521,0.05,1865.0,2204.9,0.009112600536193031,2005,2094
2253,0.05,1455.8,1450.75,-0.00017344415441681395,2005,2094
1525,0.05,716.05,751.45,0.0024718944207806786,2005,2094
877,0.05,892.65,896.0,0.00018764353329972684,2005,2094
523,0.05,305.0,320.8,0.0025901639344262316,2005,2094
588,0.05,1610.0,1600.0,-0.00031055900621118014,2005,2094
1141,0.05,1035.1,1093.0,0.00279683122403633,2005,2094
144,0.05,5980.0,6060.0,0.0006688963210702341,2005,2094
2086,0.05,317.8,398.0,0.012617998741346758,2005,2094
1583,0.05,1156.5,1320.0,0.007068741893644618,2005,2094
417,0.05,252.0,266.0,0.002777777777777778,2005,2094
615,0.05,597.1,396.75,-0.01677692178864512,2095,2184
1100,0.05,32670.5,24307.5,-0.012799008279640655,2095,2184
12,0.05,184.1,206.5,0.006083650190114071,2095,2184
167,0.05,966.0,1124.0,0.008178053830227744,2095,2184
147,0.05,2329.0,2594.0,0.0056891369686560755,2095,2184
1044,0.05,1207.4,1105.0,-0.004240516812986586,2095,2184
1244,0.05,1239.0,1100.9,-0.005573042776432603,2095,2184
1002,0.05,1528.2,1568.0,0.001302185577803951,2095,2184
301,0.05,440.95,439.0,-0.00022111350493253076,2095,2184
1557,0.05,1730.0,1775.6,0.001317919075144506,2095,2184
550,0.05,633.0,686.95,0.0042614533965244904,2095,2184
1302,0.05,6570.0,6043.65,-0.004005707762557081,2095,2184
2086,0.05,407.0,308.0,-0.012162162162162163,2095,2184
127,0.05,768.5,720.65,-0.003113207547169813,2095,2184
968,0.05,1195.1,963.0,-0.009710484478286334,2095,2184
1468,0.05,649.8,427.05,-0.017139889196675896,2095,2184
1583,0.05,1406.0,1374.7,-0.0011130867709815062,2095,2184
1521,0.05,2187.0,1905.8,-0.006428898033836307,2095,2184
135,0.05,619.0,626.0,0.0005654281098546042,2095,2184
83,0.05,636.0,580.6,-0.004355345911949684,2095,2184
615,0.05,377.25,274.8,-0.013578528827037773,2187,2276
342,0.05,1465.0,1710.0,0.008361774744027304,2187,2276
481,0.05,676.5,639.9,-0.0027050997782705117,2187,2276
523,0.05,312.5,260.1,-0.008383999999999997,2187,2276
84,0.05,1277.0,1146.0,-0.005129209083790134,2187,2276
1425,0.05,1975.55,2432.1,0.011555009997215966,2187,2276
167,0.05,1102.1,1332.0,0.010430088013791857,2187,2276
12,0.05,207.75,218.3,0.0025391095066185348,2187,2276
1131,0.05,100.5,119.05,0.009228855721393033,2187,2276
1604,0.05,504.0,607.0333333333333,0.010221560846560845,2187,2276
617,0.05,359.5,384.95,0.003539638386648121,2187,2276
983,0.05,501.7,593.5,0.009148893761211882,2187,2276
296,0.05,803.2,719.0,-0.005241533864541835,2187,2276
127,0.05,723.0,779.95,0.003938450899031815,2187,2276
352,0.05,2641.0,2791.0,0.002839833396440742,2187,2276
762,0.05,1249.9,1461.0,0.00844467557404592,2187,2276
550,0.05,682.4,741.0,0.004293669402110202,2187,2276
1677,0.05,246.46616541353384,257.1,0.0021572605247101918,2187,2276
655,0.05,149.3,147.4,-0.0006363027461486958,2187,2276
2682,0.05,845.0,1005.0,0.009467455621301775,2187,2276
903,0.05,120.45,132.45,0.004981320049813194,2277,2366
167,0.05,1359.25,1414.95,0.002048924038992093,2277,2366
983,0.05,600.0,623.75,0.001979166666666667,2277,2366
661,0.05,1421.0,1540.0,0.004187192118226601,2277,2366
1604,0.05,602.2333333333333,602.2666666666667,2.767476614820088e-06,2277,2366
1229,0.05,151.45,153.4,0.0006437768240343405,2277,2366
1131,0.05,119.5,130.1,0.004435146443514642,2277,2366
1142,0.05,1033.0,1198.0,0.007986447241045498,2277,2366
1551,0.05,1125.0,1302.0,0.007866666666666666,2277,2366
1425,0.05,2465.0,3034.0,0.01154158215010142,2277,2366
135,0.05,761.3,771.0,0.0006370681728622125,2277,2366
342,0.05,1706.0,1541.65,-0.004816822977725671,2277,2366
1002,0.05,1894.65,2133.3,0.00629799699152878,2277,2366
12,0.05,217.5,210.1,-0.0017011494252873577,2277,2366
